scenario_label,projection_horizon,species,center,mean,sd,q025,q975
Current,Baseline,ERR_n,0.2318330221150204,0.23226031673372552,0.00394223470082685,0.2250823270726026,0.24020205280692897
Current,Baseline,ERS_n,0.13356977180729768,0.1335766317537856,0.00358412306474491,0.12653108665965604,0.1387924625654911
Current,Baseline,BOJ_n,0.16473315986167003,0.16490623061078122,0.00397951904037183,0.1585386516678312,0.17262246322521946
Current,Baseline,BOP_n,0.495898071413114,0.4965692444459611,0.00556654686653287,0.4886375241923267,0.5072240037333176
Current,Baseline,EPB_n,0.3544049973929394,0.3543144892691143,0.00515717008807859,0.346132130831123,0.3625431129702782
Current,Baseline,SAB_n,0.6694059872483523,0.6698460141753193,0.00444758186721401,0.6622507050314176,0.6794481567018273
Current,Baseline,EPN_n,0.5767866535162229,0.5776388924286207,0.00443358210496912,0.5713239355070814,0.5854266976996629
Current,Baseline,THO_n,0.09708827425036516,0.0969568565568427,0.00335067007717111,0.09016756384012271,0.10391143612243917
Current,Baseline,PRP_n,0.06372964066828894,0.06358576042002148,0.00330786794566036,0.05755323119635239,0.06928742077876265
Current,Baseline,PET_n,0.1848974348798544,0.1850084541130374,0.00516430470720897,0.17531072564763198,0.1946763238224848
Current,Baseline,PIB_n,0.05931645225707492,0.05890700662690655,0.0025658873495118,0.05384196628434425,0.06219059459530411
Current,Baseline,MEL_n,0.04432695822402931,0.04410004807740624,0.00258473482775493,0.03949905168439571,0.0482820694664609
Current,Baseline,PIG_n,0.12183688506049892,0.12239972624887031,0.00336122324612971,0.11627904961747929,0.12813491113996023
SSP1-2.6 2011-2040,2011-2040,ERR_n,0.4092636255529706,0.4103584983760712,0.00719323227893227,0.39976642008062846,0.42436370904215504
SSP1-2.6 2011-2040,2011-2040,ERS_n,0.24698012555143525,0.24587014855685932,0.00754214220716744,0.23137304585204457,0.25928700418469386
SSP1-2.6 2011-2040,2011-2040,BOJ_n,0.29632104900901807,0.29516085014948296,0.00754018122940004,0.28248533316689906,0.3080568788332756
SSP1-2.6 2011-2040,2011-2040,BOP_n,0.5553463089982194,0.5568512472543667,0.00650034636986922,0.5475679742749979,0.5683750467190872
SSP1-2.6 2011-2040,2011-2040,EPB_n,0.4273031847950858,0.42825060966631234,0.00590067110314404,0.4177926254682894,0.43719301342358
SSP1-2.6 2011-2040,2011-2040,SAB_n,0.7419932622314751,0.7422184150389671,0.00487283143324779,0.7347897858939045,0.7520282623303391
SSP1-2.6 2011-2040,2011-2040,EPN_n,0.4288461926644435,0.4290506970822948,0.00692063459645104,0.415752233997724,0.4414730617811195
SSP1-2.6 2011-2040,2011-2040,THO_n,0.21259059866348728,0.2088345500661159,0.01053612622760939,0.1908547487938296,0.22654026691758897
SSP1-2.6 2011-2040,2011-2040,PRP_n,0.09292165589523788,0.09369304761881549,0.00678239991279936,0.08464148770662401,0.10708838657470672
SSP1-2.6 2011-2040,2011-2040,PET_n,0.2395379313270984,0.24030916902158447,0.00660678589362192,0.23016045085329284,0.25514213141259084
SSP1-2.6 2011-2040,2011-2040,PIB_n,0.104473740760168,0.10598782990807272,0.00698355228302299,0.0941028060726797,0.11783001019106502
SSP1-2.6 2011-2040,2011-2040,MEL_n,0.04147288145487508,0.04145732300692045,0.00365944659976694,0.03492358429934035,0.04754770549617491
SSP1-2.6 2011-2040,2011-2040,PIG_n,0.07586979055400458,0.07590737607608751,0.00349213731701953,0.07087389899105181,0.08201354550631243
